Package                        .napari_sam_MIC-DKFZ  .napari_sam_v2                   .venv         napari_env  
----------------------------------------------------------------------------------------------------------
--------------------------     ❌             ❌                                ------------  ❌           
-----------------------------  ------------  -------------------------------  ❌             ------------
aiohappyeyeballs               2.6.1         ❌                                ❌             ❌           
aiohttp                        3.13.0        ❌                                ❌             ❌           
aiosignal                      1.4.0         ❌                                ❌             ❌           
alabaster                      0.7.16        1.0.0                            ❌             1.0.0       
antlr4-python3-runtime         ❌             4.9.3                            ❌             ❌           
anyio                          ❌             ❌                                4.11.0        ❌           
app-model                      0.2.8         0.4.0                            ❌             0.4.0       
appdirs                        1.4.4         1.4.4                            ❌             1.4.4       
asciitree                      0.3.3         0.3.3                            ❌             ❌           
asttokens                      3.0.0         3.0.0                            ❌             3.0.0       
async-timeout                  5.0.1         ❌                                ❌             ❌           
attrs                          25.4.0        25.3.0                           ❌             25.3.0      
babel                          2.17.0        2.17.0                           ❌             2.17.0      
bermuda                        0.1.6         0.1.6                            ❌             0.1.6       
bioimageio-core                ❌             ❌                                0.9.2         ❌           
bioimageio-spec                ❌             ❌                                0.5.5.4       ❌           
bokeh                          ❌             ❌                                3.8.0         ❌           
build                          1.3.0         1.3.0                            ❌             1.3.0       
cachey                         0.2.1         0.2.1                            ❌             0.2.1       
cellpose                       ❌             ❌                                4.0.6         4.0.7       
cellpose-napari                ❌             ❌                                ❌             0.2.0       
certifi                        2025.10.5     2025.8.3                         2025.8.3      2025.8.3    
charset-normalizer             3.4.3         3.4.3                            ❌             3.4.3       
comm                           0.2.3         0.2.3                            ❌             0.2.3       
contourpy                      ❌             ❌                                1.3.3         ❌           
crc32c                         ❌             ❌                                2.7.1         2.7.1       
dask-image                     ❌             ❌                                2024.5.3      ❌           
dask-jobqueue                  ❌             ❌                                0.9.0         ❌           
debugpy                        1.8.17        1.8.17                           ❌             1.8.17      
decorator                      5.2.1         5.2.1                            ❌             5.2.1       
distributed                    ❌             ❌                                2025.9.1      ❌           
distro                         ❌             ❌                                1.9.0         ❌           
dnspython                      ❌             ❌                                2.8.0         ❌           
docstring-parser               0.17.0        0.17.0                           ❌             0.17.0      
docutils                       0.17.1        0.21.2                           0.22.2        0.21.2      
donfig                         ❌             ❌                                0.8.1.post1   0.8.1.post1 
email-validator                ❌             ❌                                2.3.0         ❌           
exceptiongroup                 1.3.0         1.3.0                            1.3.0         ❌           
executing                      2.2.1         2.2.1                            ❌             2.2.1       
fasteners                      0.20          0.20                             ❌             ❌           
fastremap                      ❌             ❌                                1.17.6        1.17.7      
filelock                       3.13.1        3.13.1                           3.19.1        3.20.0      
fill-voids                     ❌             ❌                                2.1.1         2.1.1       
flexcache                      0.3           0.3                              ❌             0.3         
flexparser                     0.4           0.4                              ❌             0.4         
freetype-py                    2.5.1         2.5.1                            ❌             2.5.1       
frozenlist                     1.8.0         ❌                                ❌             ❌           
fsspec                         2024.6.1      2024.6.1                         2024.6.1      2025.9.0    
genericache                    ❌             ❌                                0.5.2         ❌           
h11                            ❌             ❌                                0.16.0        ❌           
h5py                           ❌             ❌                                3.14.0        ❌           
heapdict                       1.0.1         1.0.1                            ❌             1.0.1       
