Package                    Version
-------------------------- ------------
annotated-types            0.7.0
anyio                      4.11.0
bioimageio-core            0.9.2
bioimageio-spec            0.5.5.4
bokeh                      3.8.0
cellpose                   4.0.6
certifi                    2025.8.3
click                      8.3.0
cloudpickle                3.1.1
colorama                   0.4.6
contourpy                  1.3.3
crc32c                     2.7.1
dask                       2025.9.1
dask-image                 2024.5.3
dask-jobqueue              0.9.0
distributed                2025.9.1
distro                     1.9.0
dnspython                  2.8.0
docutils                   0.22.2
donfig                     0.8.1.post1
email-validator            2.3.0
exceptiongroup             1.3.0
fastremap                  1.17.6
filelock                   3.19.1
fill-voids                 2.1.1
fsspec                     2024.6.1
genericache                0.5.2
h11                        0.16.0
h5py                       3.14.0
httpcore                   1.0.9
httpx                      0.28.1
idna                       3.10
imagecodecs                2025.8.2
imageio                    2.37.0
importlib-metadata         8.7.0
itsdangerous               2.2.0
jedi                       0.19.2
jinja2                     3.1.4
locket                     1.0.0
loguru                     0.7.3
loro                       1.8.1
marimo                     0.16.2
markdown                   3.9
markdown-it-py             4.0.0
markupsafe                 2.1.5
mdurl                      0.1.2
mpmath                     1.3.0
msgpack                    1.1.1
msgspec                    0.19.0
narwhals                   2.5.0
natsort                    8.4.0
nd2                        0.10.3
networkx                   3.3
numcodecs                  0.16.3
numpy                      2.1.2
ome-types                  0.6.1
opencv-python-headless     4.12.0.88
packaging                  25.0
pandas                     2.3.2
parso                      0.8.5
partd                      1.4.2
pillow                     11.0.0
pims                       0.7
platformdirs               4.4.0
psutil                     7.1.0
pyarrow                    21.0.0
pydantic                   2.11.9
pydantic-core              2.33.2
pydantic-extra-types       2.10.5
pydantic-settings          2.11.0
pygments                   2.19.2
pymdown-extensions         10.16.1
pynrrd                     1.1.3
pyqt6                      6.9.1
pyqt6-qt6                  6.9.2
pyqt6-sip                  13.10.2
pyqtgraph                  0.13.7
python-dateutil            2.9.0.post0
python-dotenv              1.1.1
pytz                       2025.2
pyyaml                     6.0.2
qtpy                       2.4.3
resource-backed-dask-array 0.1.0
rich                       14.1.0
roifile                    2025.5.10
ruyaml                     0.91.0
scipy                      1.16.2
segment-anything           1.0
setuptools                 80.9.0
six                        1.17.0
slicerator                 1.1.0
sniffio                    1.3.1
sortedcontainers           2.4.0
starlette                  0.48.0
superqt                    0.7.6
sympy                      1.13.3
tblib                      3.1.0
tifffile                   2025.9.20
tomlkit                    0.13.3
toolz                      1.0.0
torch                      2.7.1+cu118
torchaudio                 2.7.1+cu118
torchvision                0.22.1+cu118
tornado                    6.5.2
tqdm                       4.67.1
typing-extensions          4.12.2
typing-inspection          0.4.1
tzdata                     2025.2
urllib3                    2.5.0
uvicorn                    0.35.0
websockets                 15.0.1
win32-setctime             1.2.0
xarray                     2025.1.2
xsdata                     24.3.1
xyzservices                2025.4.0
zarr                       3.1.3
zict                       3.0.0
zipp                       3.23.0
